drug	drug_action	KDT	KDT_name	Drug_effect_simplified
Vigabatrin	inhibitor	18	ABAT	Inhibitor
Probucol	inhibitor	19	ABCA1	Inhibitor
Ponatinib	inhibitor	25	ABL1	Inhibitor
Regorafenib	inhibitor	25	ABL1	Inhibitor
Nilotinib	inhibitor	25	ABL1	Inhibitor
Imatinib	inhibitor	25	ABL1	Inhibitor
Bosutinib	inhibitor	25	ABL1	Inhibitor
Asciminib	inhibitor|allosteric modulator	25	ABL1	Inhibitor
Dasatinib	multitarget	25	ABL1	Inhibitor
Sulfasalazine	inhibitor	38	ACAT1	Inhibitor
Neostigmine	inhibitor	43	ACHE	Inhibitor
Pyridostigmine	inhibitor	43	ACHE	Inhibitor
Edrophonium	inhibitor	43	ACHE	Inhibitor
Demecarium	inhibitor	43	ACHE	Inhibitor
Gallamine triethiodide	inhibitor	43	ACHE	Inhibitor
Pralidoxime	activator	43	ACHE	Activator
Rivastigmine	inhibitor	43	ACHE	Inhibitor
Minaprine	inhibitor	43	ACHE	Inhibitor
Donepezil	inhibitor	43	ACHE	Inhibitor
Ambenonium	inhibitor	43	ACHE	Inhibitor
Physostigmine	inhibitor	43	ACHE	Inhibitor
Galantamine	inhibitor	43	ACHE	Inhibitor
Bempedoic acid	inhibitor	47	ACLY	Inhibitor
Sipuleucel-T	other	55	ACP3	other
Human calcitonin	incorporation into and destabilization	87	ACTN1	other
Pentostatin	inhibitor	100	ADA	Inhibitor
Dipyridamole	inhibitor	100	ADA	Inhibitor
Fomepizole	inhibitor	124	ADH1A	Inhibitor
Fomepizole	inhibitor	125	ADH1B	Inhibitor
Fomepizole	inhibitor	126	ADH1C	Inhibitor
Adenosine	agonist	134	ADORA1	Activator
Theophylline	antagonist	134	ADORA1	Inhibitor
Aminophylline	antagonist	134	ADORA1	Inhibitor
Tramadol	agonist	134	ADORA1	Activator
Oxtriphylline	antagonist	134	ADORA1	Inhibitor
Caffeine	antagonist	134	ADORA1	Inhibitor
Dyphylline	antagonist	134	ADORA1	Inhibitor
Pentoxifylline	agonist	135	ADORA2A	Activator
Regadenoson	agonist	135	ADORA2A	Activator
Istradefylline	antagonist	135	ADORA2A	Inhibitor
Dyphylline	antagonist	135	ADORA2A	Inhibitor
