target	drug_id	drug	padj	NES	rank_nes_overall	mean_abs_shap	circuits_above_zero
LDHB	DB11638	Artenimol	1.98408865659993E-07	2.40200990483904	28	0.053377641079268	5
RRM1	DB00631	Clofarabine	2.69329582279362E-07	2.49684342163065	20	0.006174314357354	1
EGFR	DB03496	Alvocidib	7.07938283343453E-07	2.41138188947284	26	0.169799002032272	14
PSMB2	DB11762	Marizomib	1.60770306008383E-06	2.49958816383425	19	0.005816669406011	1
PDGFRB	DB09283	Trapidil	3.65221302466481E-06	2.41975957955149	24	0.023702379013807	3
AR	DB00421	Spironolactone	0.000103160770396	2.25020912161814	66	0.005380756008407	1
EGFR	DB12174	CUDC-101	0.000123161358813	2.20658887402019	72	0.169799002032272	14
KDR	DB05608	MKC-1	0.00102343053143	2.1573956192271	80	0.00652201980873	1
PDGFRB	DB12147	Erdafitinib	0.001183330282605	2.09775818402175	94	0.023702379013807	3
CACNA2D1	DB00230	Pregabalin	0.001229636512096	2.09132430764859	97	0.100578160553848	9
CACNA2D1	DB08872	Gabapentin enacarbil	0.001229636512096	2.09132430764859	98	0.100578160553848	9
AR	DB08804	Nandrolone decanoate	0.00195639906786	2.08835351757494	104	0.005380756008407	1
PDGFRB	DB11694	Ilorasertib	0.003464725355424	2.00282691528826	135	0.023702379013807	3
AR	DB00717	Norethisterone	0.007142878402106	1.66398775624387	238	0.005380756008407	1
AR	DB08867	Ulipristal	0.007142878402106	1.66398775624387	239	0.005380756008407	1
AR	DB14583	Segesterone acetate	0.007142878402106	1.66398775624387	240	0.005380756008407	1
