drug_id	pval	NES	target	drug
DB00188	7.99474856557809e-15	2.90901159697069	PSMB1	Bortezomib
DB08889	7.99474856557809e-15	2.90901159697069	PSMB1	Carfilzomib
DB09570	7.99474856557809e-15	2.90901159697069	PSMD1	NA
DB11991	7.99474856557809e-15	2.90901159697069	PSMD1	NA
DB01238	8.70726813404579e-14	2.84686264847439	DRD1	Aripiprazole
DB05016	6.687515432598e-16	2.83183992665024	RPSA	NA
DB00334	2.3751753526728e-10	2.66958934149934	DRD1	Olanzapine
DB00201	4.5116149763741e-11	2.65389821728204	ADORA1	Caffeine
DB12010	1.06154629634606e-23	2.62933940421315	ABL1	Fostamatinib
DB00945	6.86152566631974e-10	2.59745745472547	PTGS1	Acetylsalicylic acid
DB00543	7.68674738167459e-10	2.59523917219978	DRD1	Amoxapine
DB00408	1.42735198322292e-09	2.58588102299172	DRD1	Loxapine
DB01017	2.17497469078413e-09	2.57617939619727	NOS2	Minocycline
DB01224	2.32255224737196e-09	2.57060661923346	DRD1	Quetiapine
DB00363	1.08421302204266e-08	2.54111613055279	DRD1	Clozapine
DB14185	5.96573299463495e-09	2.53328898266315	DRD1	Aripiprazole lauroxil
DB12745	4.1078017787792e-09	2.52498371750248	PRKD3	NA
DB00806	1.81052765150084e-08	2.52334855092222	ADORA1	Pentoxifylline
DB11762	2.12933236326908e-08	2.50639900645563	PSMB2	NA
DB00631	3.51583890422403e-09	2.48875750395447	RRM1	Clofarabine
DB00477	2.1010476350104e-08	2.47906930513521	DRD1	Chlorpromazine
DB06216	1.22618367888845e-07	2.4385075342421	DRD1	Asenapine
DB00248	1.29884512369048e-07	2.43426838589647	DRD1	Cabergoline
DB09283	1.08499507267747e-07	2.41916036037185	PDGFRB	Trapidil
DB04961	5.3225087715393e-09	2.41474994595508	POLA1	NA
DB03496	7.75436615706588e-09	2.40590505563644	EGFR	Alvocidib
DB11638	3.24328331363999e-09	2.40435833344604	LDHB	Artenimol
DB01169	3.46474644005674e-10	2.39297121375542	AKT1	Arsenic trioxide
DB00726	3.0597147065842e-07	2.38673964775741	ADRA2A	Trimipramine
DB08901	8.5953847077601e-07	2.36880500737295	ABL1	Ponatinib
DB08142	1.19788295387709e-06	2.36508212317729	CDK2	AT-7519
DB12686	1.19788295387709e-06	2.36508212317729	CDK1	NA
DB00696	9.47694216007032e-07	2.36338376852002	ADRA2A	Ergotamine
DB06148	1.80991162802631e-06	2.35879756384779	HRH4	Mianserin
DB08515	3.04758465441819e-07	2.35446468113583	PSMB1	(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE
DB00320	1.58045989951353e-06	2.35366778752393	HTR4	Dihydroergotamine
DB01403	1.78724337358134e-06	2.34611468802194	DRD1	Methotrimeprazine
DB01142	2.05310862795753e-06	2.33957859394792	CHRM3	Doxepin
DB00987	5.28323794537887e-07	2.33190454510424	POLB	Cytarabine
DB01200	1.05757189577476e-06	2.32795232993289	DRD1	Bromocriptine
DB00715	1.04043607910131e-06	2.32170411234523	HTR2B	Paroxetine
DB00458	1.47003676010841e-06	2.31189332757827	CHRM3	Imipramine
DB06153	5.49018102437954e-06	2.29594817197345	CHRM3	Pizotifen
DB00934	2.16902502770736e-06	2.28395195585229	CHRM3	Maprotiline
DB11651	1.07391716710688e-07	2.28001702767195	MTOR	NA
DB11896	1.07391716710688e-07	2.28001702767195	MTOR	NA
DB11974	1.07391716710688e-07	2.28001702767195	MTOR	NA
DB12180	1.07391716710688e-07	2.28001702767195	MTOR	NA
DB12400	1.07391716710688e-07	2.28001702767195	MTOR	NA
DB12703	1.07391716710688e-07	2.28001702767195	MTOR	NA
DB01151	5.70789601012772e-06	2.2737406828557	CHRM3	Desipramine
DB10772	2.98183878661962e-06	2.2735326382889	VEGFA	Foreskin keratinocyte (neonatal)
DB02746	1.50347475431237e-07	2.27176999434507	PPARA	Phthalic Acid
DB01186	4.18153713231524e-06	2.2571944814816	DRD1	Pergolide
DB00421	3.38663829413554e-06	2.25551336485983	AR	Spironolactone
DB11891	5.68786610977567e-06	2.25011172750546	PIK3CD	NA
DB09194	5.985657493724e-06	2.24583393620288	HTR2A	Etoperidone
DB11663	3.16133440797789e-08	2.24456330961327	PIK3R1	NA
DB11666	3.16133440797789e-08	2.24456330961327	PIK3R1	NA
DB11772	3.16133440797789e-08	2.24456330961327	PIK3CA	Pilaralisib
DB11962	3.16133440797789e-08	2.24456330961327	PIK3R1	NA
DB12108	3.16133440797789e-08	2.24456330961327	PIK3R1	NA
DB12601	3.16133440797789e-08	2.24456330961327	PIK3R1	NA
DB13051	3.16133440797789e-08	2.24456330961327	PIK3R1	NA
DB14980	3.16133440797789e-08	2.24456330961327	PIK3R1	NA
DB15186	3.16133440797789e-08	2.24456330961327	PIK3R1	NA
DB00975	5.28316227100425e-06	2.24401598576015	PDE5A	Dipyridamole
DB05294	5.71804596343451e-06	2.24346426661368	VEGFA	Vandetanib
DB06595	1.35420916782337e-05	2.22771350701768	FLT3	Midostaurin
DB06195	1.14462087755243e-07	2.22099060665705	MAPK1	Seliciclib
DB01221	1.09853061689679e-05	2.2158449129261	NOS1	Ketamine
DB00852	1.99514524485434e-05	2.20869768160017	ADRB1	Pseudoephedrine
DB12174	8.63072126679029e-06	2.20387318478638	EGFR	NA
DB00568	2.43276092842468e-05	2.19883479321762	CACNA1I	Cinnarizine
DB00734	2.17520213768915e-05	2.19706054921895	DRD1	Risperidone
DB08896	2.05903761137068e-05	2.18540421461993	ABL1	Regorafenib
DB00540	3.86592518209711e-05	2.18346881406462	HTR1A	Nortriptyline
DB02010	1.8074503164692e-05	2.16878201316931	CHRM1	Staurosporine
DB00675	2.76900980721005e-05	2.16432970261789	KCNH2	Tamoxifen
DB05608	3.08588077908472e-05	2.1612088297363	KDR	NA
DB00589	8.66852912910948e-05	2.16117001296366	DRD1	Lisuride
DB01049	1.67106953204435e-05	2.15502877009903	HTR1A	Ergoloid mesylate
DB13345	1.67106953204435e-05	2.15502877009903	HTR1A	Dihydroergocristine
DB00321	2.06560176125201e-05	2.14842194494534	HRH2	Amitriptyline
DB00153	4.38321074228977e-05	2.1366793896395	VDR	Ergocalciferol
DB01267	0.000135293831085707	2.13540337203546	DRD1	Paliperidone
DB09167	9.63374602636345e-05	2.12403949599069	CHRM3	Dosulepin
DB12695	2.28775913064995e-05	2.12389689688192	TUBB1	Phenethyl Isothiocyanate
DB05075	4.98464866459611e-05	2.1198619268814	FLT4	TG-100801
DB00502	0.000205482349895687	2.11584156578195	DRD1	Haloperidol
DB00230	6.86796854382199e-05	2.10109254227129	CACNA2D1	Pregabalin
DB08872	6.86796854382199e-05	2.10109254227129	CACNA2D1	Gabapentin enacarbil
DB12032	6.86796854382199e-05	2.10109254227129	CACNA1H	NA
DB12105	6.86796854382199e-05	2.10109254227129	CACNA1H	NA
DB01254	7.31352879427239e-05	2.09787102063637	ABL1	Dasatinib
DB05492	0.000158647052714554	2.09662583217593	ADRA2A	Epicept NP-1
DB00131	0.00013135522542339	2.09607240631919	PRKAB1	Adenosine phosphate
DB15822	9.63961361468173e-05	2.09601277486308	FLT3	Pralsetinib
DB12147	3.20102558427445e-05	2.08920028855219	PDGFRB	Erdafitinib
